%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208979, 2021/03/4 9:50:2.79)
71 711 4.469086e-01 2.703515e+00  6.047806470618528607e+01  9.634506704324095949e+01  1.255744401409997550e+02  1.574444193156104461e+02 2.000000
72 721 4.408117e-01 2.640117e+00  6.047806470618528607e+01  6.980391048507019036e+01  1.239048855615044715e+02  1.329869844288375589e+02 2.000000
73 731 4.208937e-01 2.634989e+00  6.047806470618528607e+01  8.998949103736538291e+01  1.163021151275771530e+02  1.567410213236947243e+02 2.000000
74 741 3.854833e-01 2.653963e+00  6.047806470618528607e+01  9.570336658124584517e+01  1.311009835663691092e+02  1.479133243052391720e+02 2.000000
75 751 3.995031e-01 2.713909e+00  6.047806470618528607e+01  7.918737105253944719e+01  1.105096070902094283e+02  1.798215934591882501e+02 2.000000
76 761 3.744356e-01 2.742165e+00  6.047806470618528607e+01  8.318472848611787640e+01  1.470286588018769862e+02  1.682780117522964929e+02 2.000000
77 771 3.747451e-01 2.794004e+00  5.643201770707003107e+01  5.643201770707003107e+01  1.200052224055038153e+02  1.512455344032557889e+02 2.000000
78 781 3.518553e-01 2.814765e+00  5.643201770707003107e+01  9.946701725695602647e+01  1.306713992596385765e+02  1.733609316703071954e+02 2.000000
79 791 3.349669e-01 2.816209e+00  5.643201770707003107e+01  9.117108081682512477e+01  1.253767308086100485e+02  1.526393009448576947e+02 2.000000
80 801 3.119490e-01 2.816770e+00  5.643201770707003107e+01  9.518577432351824541e+01  1.156510567447784297e+02  1.319775125481602913e+02 2.000000
81 811 3.177634e-01 2.955407e+00  5.643201770707003107e+01  7.264961434108869298e+01  1.104405234485702465e+02  1.251689168163108548e+02 2.000000
82 821 3.404267e-01 3.071333e+00  5.643201770707003107e+01  9.641766097480923747e+01  1.206847454362389698e+02  1.312581502814163628e+02 2.000000
83 831 3.210542e-01 3.065254e+00  5.643201770707003107e+01  9.822587490843699243e+01  1.215391078740582742e+02  1.724283093717921247e+02 2.000000
84 841 3.030018e-01 3.118069e+00  5.643201770707003107e+01  9.809320554009181592e+01  1.194691215333319718e+02  1.361086838695925110e+02 2.000000
85 851 3.128014e-01 3.132065e+00  5.643201770707003107e+01  9.167519431655000517e+01  1.293856367010140787e+02  1.744795381571682071e+02 2.000000
